Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
1057DD,Complainer,"553,42","442,74",,Huurder,2018,DD,1057,52.3661,4.8533
3051RG,Defendant,725,725,,Huurder,2018,RG,3051,51.9463,4.486
2612CA,Complainer,1400,"694,23",,Huurder,2018,CA,2612,52.0232,4.352
3144CJ,Defendant,"467,61",0,,Huurder,2018,CJ,3144,51.9229,4.2462
7009HZ,Defendant,"497,03","497,03",,Huurder,2018,HZ,7009,51.9756,6.2979
2231ZB,Complainer,"449,09","561,36",,Verhuurder,2018,ZB,2231,52.1831,4.4417
2231ZB,Defendant,"558,4","558,4",,Verhuurder,2018,ZB,2231,52.1831,4.4417
4701BD,Complainer,"446,74","446,74",,Huurder,2018,BD,4701,51.5301,4.4537
2518CJ,Complainer,,,,Huurder,2018,CJ,2518,52.0821,4.2995
8916BX,Complainer,,,,Huurder,2018,BX,8916,53.2066,5.783
8916BX,Defendant,,,,Huurder,2019,BX,8916,53.2066,5.783
8916BX,Complainer,,,,Huurder,2020,BX,8916,53.2066,5.783
3523RC,Complainer,"494,42","440,11",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"484,33","403,84",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"494,42","434,94",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"474,21","403,84",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,470,"403,84",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"494,42","434,94",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,650,"502,36",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"575,14","549,01",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,550,"512,73",,Huurder,2018,RC,3523,52.0753,5.1272
3523RC,Complainer,"575,14","569,76",,Huurder,2018,RC,3523,52.0753,5.1272
9711VS,Complainer,550,"388,27",,Huurder,2018,VS,9711,53.2219,6.5711
9711VS,Complainer,580,384,,Huurder,2018,VS,9711,53.2219,6.5711
9711VS,Complainer,"388,27","335,30",,Huurder,2019,VS,9711,53.2219,6.5711
9711VS,Complainer,"384,00","330,51",,Huurder,2019,VS,9711,53.2219,6.5711
7311AX,Complainer,373,"74,6",,Huurder,2018,AX,7311,52.2167,5.9577
3523AB,Complainer,255,"182,64",,Huurder,2018,AB,3523,52.0768,5.1237
3523AB,Complainer,255,195,,Huurder,2018,AB,3523,52.0768,5.1237
3523AB,Complainer,310,"262,67",,Huurder,2018,AB,3523,52.0768,5.1237
9724NM,Complainer,250,"180,61",,Huurder,2018,NM,9724,53.2094,6.5816
9724NM,Complainer,275,"180,61",,Huurder,2018,NM,9724,53.2094,6.5816
9724NM,Complainer,"275,00","214,37",,Huurder,2019,NM,9724,53.2094,6.5816
7322CK,Defendant,"685,54","685,54",,Huurder,2018,CK,7322,52.2278,5.9827
7041CP,Complainer,600,240,,Huurder,2018,CP,7041,51.8768,6.2465
