Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
1051VM,Complainer,,,,Huurder,2018
3582KH,Complainer,,,,Huurder,2018
9723LD,Complainer,850,"554,22",,Huurder,2018
1058AX,Complainer,,,,Huurder,2018
3562JV,Complainer,370,"336,53",,Huurder,2018
1057JM,Complainer,,,,Huurder,2018
1105AX,Complainer,,,,Huurder,2018
1013CG,Defendant,,,,Huurder,2018
9727BP,Complainer,,,,Huurder,2018
3083DV,Complainer,660,"372,06",,Huurder,2018
1018JL,Defendant,"553,56","553,56",,Huurder,2018
9728ED,Complainer,,,,Huurder,2018
9711AM,Complainer,,,,Huurder,2018
9728ED,Complainer,,,,Huurder,2018
9711XK,Complainer,"630,85","252,34",,Huurder,2018
1083GW,Complainer,"589,09","471,27",,Huurder,2018
1013Cg,Defendant,,,,Huurder,2018
1061hx,Complainer,"629,97","503,98",,Huurder,2018
1013TH,Complainer,"504,4","403,52",,Huurder,2018
3551ED,Complainer,975,"377,92",,Huurder,2018
1018AS,Complainer,,,,Huurder,2018
3034SL,Defendant,"687,1","687,1",,Huurder,2018
3511VL,Complainer,"289,6","186,75",,Huurder,2018
5038NC,Complainer,490,378,,Huurder,2018
1017AA,Defendant,944,944,,Huurder,2018
4812XE,Complainer,,,,Huurder,2018
2572JC,Complainer,"423,64","169,46",,Huurder,2018
9602GX,Defendant,"603,2",0,,Huurder,2018
9711VX,Defendant,1510,1510,,Huurder,2018
1054LA,Complainer,,,,Huurder,2018
1012GS,Complainer,,,,Huurder,2018
1055GM,Defendant,"511,85","204,74",,Huurder,2018
2332RA,Defendant,650,650,,Huurder,2018
9743KJ,Complainer,,,,Huurder,2018
9713GL,Complainer,,,,Huurder,2018
2011KE,Complainer,"127,64","127,64",,Huurder,2018
1056ph,Complainer,"500,71","300,42",,Huurder,2018
1018CN,Complainer,400,160,,Huurder,2018
9717KN,Complainer,,,,Huurder,2018
9711GM,Complainer,,,,Huurder,2018
9711GK,Complainer,,,,Huurder,2018
2572NS,Complainer,,,,Huurder,2018
1111LW,Complainer,,,,Huurder,2018
1103kn,Defendant,,,,Huurder,2018
8431BA,Complainer,"674,27","539,42",,Huurder,2018
1444WR,Defendant,"635,27","635,27",,Huurder,2018
9718GH,Complainer,,,,Huurder,2018
4201CW,Defendant,2600,2600,,Huurder,2018
2516KL,Defendant,850,850,,Huurder,2018
1065BX,Defendant,"635,63","635,63",,Huurder,2018
9715HC,Complainer,450,"385,85",,Huurder,2018
1013MN,Complainer,,,,Huurder,2018
1062EV,Complainer,,,,Huurder,2018
9727BB,Complainer,,,,Huurder,2018
9713EK,Complainer,,,,Huurder,2018
6835AT,Complainer,"754,06","678,67",,Huurder,2018
1015KH,Complainer,,,,Huurder,2018
9717GR,Complainer,,,,Huurder,2018
1025DD,Complainer,"615,51","492,41",,Huurder,2018
6821HC,Complainer,510,102,,Huurder,2018
1183AC,Complainer,"619,47","495,58",,Huurder,2018
1056PH,Complainer,"400,26","160,1",,Huurder,2018
1059BS,Complainer,"265,97","212,78",,Huurder,2018
3562JV,Complainer,400,"233,92",,Huurder,2018
